BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1.1.1.2.1.4'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP43 component PsbC'	'eme28470'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP43 component PsbC (original description: pep supercontig:ASM34128v1:scaf_35:39721:42257:1 gene:Gasu_40150 transcript:EME28470 gene_biotype:protein_coding transcript_biotype:protein_coding description:[pt] photosystem II PsbC protein)'	T
'1.1.1.2.1.5'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer'	''	''	
'1.1.1.2.1.5.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.alpha component PsbE'	''	''	
'1.1.1.2.1.5.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.beta component PsbF'	''	''	
'1.1.1.2.1.6'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component PsbI'	''	''	
'1.1.1.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins'	''	''	
'1.1.1.2.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO'	'eme29918'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO (original description: pep supercontig:ASM34128v1:scaf_20:96171:97501:1 gene:Gasu_27040 transcript:EME29918 gene_biotype:protein_coding transcript_biotype:protein_coding description:photosystem II PsbO protein)'	T
'1.1.1.2.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components'	''	''	
'1.1.1.2.2.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC23 component PsbP'	''	''	
'1.1.1.2.2.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC16 component PsbQ'	''	''	
'1.1.1.2.2.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components'	''	''	
'1.1.1.2.2.3.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbU'	'eme29916'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbU (original description: pep supercontig:ASM34128v1:scaf_20:93646:94470:-1 gene:Gasu_27020 transcript:EME29916 gene_biotype:protein_coding transcript_biotype:protein_coding description:photosystem II PsbU protein)'	T
'1.1.1.2.2.3.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbV'	'eme28527'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbV (original description: pep supercontig:ASM34128v1:scaf_35:147801:149818:1 gene:Gasu_40720 transcript:EME28527 gene_biotype:protein_coding transcript_biotype:protein_coding description:[pt] acetyl-CoA carboxylase carboxyltransferase subunit beta)'	T
'1.1.1.2.2.3.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbQ*'	'eme28144'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbQ* (original description: pep supercontig:ASM34128v1:scaf_39:37931:38860:-1 gene:Gasu_43120 transcript:EME28144 gene_biotype:protein_coding transcript_biotype:protein_coding description:photosystem II oxygen-evolving enhancer protein)'	T
'1.1.1.2.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbH'	''	''	
'1.1.1.2.4'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbJ'	''	''	
'1.1.1.2.5'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbK'	''	''	
'1.1.1.2.6'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbL'	''	''	
'1.1.1.2.7'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbM'	''	''	
'1.1.1.2.8'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbN'	''	''	
'1.1.1.2.9'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbR'	''	''	
'1.1.1.2.10'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbTc'	''	''	
'1.1.1.2.11'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbTn'	''	''	
'1.1.1.2.12'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbW'	''	''	
'1.1.1.2.13'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbX'	''	''	
'1.1.1.2.14'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbY'	''	''	
'1.1.1.2.15'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbZ'	''	''	
'1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance'	''	''	
'1.1.1.3.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA1 protein'	''	''	
'1.1.1.3.2'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA2 protein'	''	''	
'1.1.1.3.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA3 protein'	'eme27804'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA3 protein (original description: pep supercontig:ASM34128v1:scaf_43:41135:42330:-1 gene:Gasu_46290 transcript:EME27804 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein)'	T
'1.1.1.3.4'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF106 protein'	''	''	
'1.1.1.3.5'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF136 protein'	'eme27451'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF136 protein (original description: pep supercontig:ASM34128v1:scaf_48:109181:110630:1 gene:Gasu_50420 transcript:EME27451 gene_biotype:protein_coding transcript_biotype:protein_coding description:photosystem II stability/assembly factor HCF136)'	T
'1.1.1.3.6'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF243 protein'	''	''	
'1.1.1.3.7'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF244 protein'	'eme28520'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF244 protein (original description: pep supercontig:ASM34128v1:scaf_35:135611:137249:1 gene:Gasu_40650 transcript:EME28520 gene_biotype:protein_coding transcript_biotype:protein_coding description:[pt] hypothetical protein)'	T
'1.1.1.3.8'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF173 protein'	''	''	
'1.1.1.3.9'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb27 protein'	'eme28982'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb27 protein (original description: pep supercontig:ASM34128v1:scaf_29:62956:63780:-1 gene:Gasu_35550 transcript:EME28982 gene_biotype:protein_coding transcript_biotype:protein_coding description:photosystem II Psb27 protein)'	T
'1.1.1.3.10'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb28 protein'	'eme28472'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb28 protein (original description: pep supercontig:ASM34128v1:scaf_35:45901:46341:1 gene:Gasu_40170 transcript:EME28472 gene_biotype:protein_coding transcript_biotype:protein_coding description:[pt] photosystem II reaction center 13kDa protein)'	T
'1.1.1.3.11'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb29 protein'	'eme26335'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb29 protein (original description: pep supercontig:ASM34128v1:scaf_68:8501:9641:1 gene:Gasu_60110 transcript:EME26335 gene_biotype:protein_coding transcript_biotype:protein_coding description:thylakoid protein)'	T
'1.1.1.3.12'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb30 protein'	''	''	
'1.1.1.3.13'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb32 protein'	''	''	
'1.1.1.3.14'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb33 protein'	''	''	
'1.1.1.3.15'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PAM68 protein'	'eme29809'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PAM68 protein (original description: pep supercontig:ASM34128v1:scaf_21:80581:81221:1 gene:Gasu_28110 transcript:EME29809 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein)'	T
'1.1.1.3.16'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.RBD1 protein'	'eme32157'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.RBD1 protein (original description: pep supercontig:ASM34128v1:scaf_3:54451:55184:1 gene:Gasu_05710 transcript:EME32157 gene_biotype:protein_coding transcript_biotype:protein_coding description:rubredoxin family protein)'	T
'1.1.1.3.17'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.MET1 protein'	''	''	
'1.1.1.3.18'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PPL1 protein'	''	''	
'1.1.1.3.19'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.SCO2 protein'	''	''	
'1.1.1.3.20'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.TerC protein'	'eme28655'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.TerC protein (original description: pep supercontig:ASM34128v1:scaf_33:82206:83390:-1 gene:Gasu_38630 transcript:EME28655 gene_biotype:protein_coding transcript_biotype:protein_coding description:tellurite resistance protein TerC)'	T
'1.1.1.3.21'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.CYP38 protein'	'eme28798'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.CYP38 protein (original description: pep supercontig:ASM34128v1:scaf_31:44081:46092:1 gene:Gasu_36910 transcript:EME28798 gene_biotype:protein_coding transcript_biotype:protein_coding description:peptidylprolyl isomerase)'	T
'1.1.1.3.22'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LQY1 protein'	'eme28138'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LQY1 protein (original description: pep supercontig:ASM34128v1:scaf_39:30931:31671:1 gene:Gasu_43060 transcript:EME28138 gene_biotype:protein_coding transcript_biotype:protein_coding description:chaperone protein / DnaJ-related protein)'	T
'1.1.1.3.23'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HHL1 protein'	''	''	
'1.1.1.3.24'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LTO1 protein'	'eme26277'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LTO1 protein (original description: pep supercontig:ASM34128v1:scaf_71:6736:8060:-1 gene:Gasu_60810 transcript:EME26277 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein)'	T
'1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation'	''	''	
'1.1.1.4.1'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation'	''	''	
'1.1.1.4.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.STN7 kinase'	''	''	
'1.1.1.4.1.2'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.STN8 kinase'	''	''	
'1.1.1.4.1.3'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.PPH1/TAP38 phosphatase'	''	''	
'1.1.1.4.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.PBCP phosphatase'	''	''	
'1.1.1.4.2'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.MPH2 acclimation factor'	''	''	
'1.1.1.4.3'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.APE acclimation factor'	'eme30375'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.APE acclimation factor (original description: pep supercontig:ASM34128v1:scaf_16:79571:80481:1 gene:Gasu_22820 transcript:EME30375 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein)'	T
'1.1.1.5'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection'	''	''	
'1.1.1.5.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ)'	''	''	
'1.1.1.5.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery'	''	''	
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'eme28871'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep supercontig:ASM34128v1:scaf_31:158643:160100:-1 gene:Gasu_37550 transcript:EME28871 gene_biotype:protein_coding transcript_biotype:protein_coding description:light-harvesting complex protein)'	T
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'eme26631'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep supercontig:ASM34128v1:scaf_61:45791:46781:1 gene:Gasu_57520 transcript:EME26631 gene_biotype:protein_coding transcript_biotype:protein_coding description:light-harvesting complex protein)'	T
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'eme29745'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep supercontig:ASM34128v1:scaf_22:153751:154741:1 gene:Gasu_29620 transcript:EME29745 gene_biotype:protein_coding transcript_biotype:protein_coding description:light-harvesting complex protein)'	T
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'eme31483'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep supercontig:ASM34128v1:scaf_7:9216:10410:-1 gene:Gasu_11610 transcript:EME31483 gene_biotype:protein_coding transcript_biotype:protein_coding description:light-harvesting complex protein)'	T
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'eme31485'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep supercontig:ASM34128v1:scaf_7:12341:14029:1 gene:Gasu_11630 transcript:EME31485 gene_biotype:protein_coding transcript_biotype:protein_coding description:light-harvesting complex protein)'	T
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'eme25894'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep supercontig:ASM34128v1:scaf_250:1:1290:-1 gene:Gasu_64440 transcript:EME25894 gene_biotype:protein_coding transcript_biotype:protein_coding description:light-harvesting complex protein)'	T
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'eme31284'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep supercontig:ASM34128v1:scaf_9:180854:181827:1 gene:Gasu_15230 transcript:EME31284 gene_biotype:protein_coding transcript_biotype:protein_coding description:light-harvesting complex protein)'	T
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'eme31285'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep supercontig:ASM34128v1:scaf_9:181829:183283:-1 gene:Gasu_15240 transcript:EME31285 gene_biotype:protein_coding transcript_biotype:protein_coding description:light-harvesting complex protein)'	T
'1.1.1.5.1.2'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).PsbS-dependent machinery'	''	''	
'1.1.1.5.1.2.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).PsbS-dependent machinery.PsbS protein'	''	''	
'1.1.1.5.1.3'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle'	''	''	
'1.1.1.5.1.3.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle.violaxanthin de-epoxidase'	''	''	
'1.1.1.5.1.3.2'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle.zeaxanthin epoxidase'	''	''	
'1.1.1.5.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein'	'eme32743'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein (original description: pep supercontig:ASM34128v1:scaf_0:205023:206317:-1 gene:Gasu_01070 transcript:EME32743 gene_biotype:protein_coding transcript_biotype:protein_coding description:ATP synthase mitochondrial F1 complex assembly factor 2)'	T
'1.1.1.5.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein'	'eme28539'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein (original description: pep supercontig:ASM34128v1:scaf_34:38682:40680:-1 gene:Gasu_39180 transcript:EME28539 gene_biotype:protein_coding transcript_biotype:protein_coding description:ATP synthase mitochondrial F1 complex assembly factor 2)'	T
'1.1.1.5.1.5'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LCNP NPQ-regulator lipocalin'	''	''	
'1.1.1.5.1.6'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).SOQ1 negative NPQ-regulator protein'	'eme26962'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).SOQ1 negative NPQ-regulator protein (original description: pep supercontig:ASM34128v1:scaf_55:28296:29410:-1 gene:Gasu_54160 transcript:EME26962 gene_biotype:protein_coding transcript_biotype:protein_coding description:phosphoglycolate phosphatase)'	T
'1.1.1.5.2'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.MPH1 protein'	''	''	
'1.1.1.6'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups'	''	''	
'1.1.1.6.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group'	''	''	
'1.1.1.6.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP1 protein'	''	''	
'1.1.1.6.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP2 protein'	'eme32198'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP2 protein (original description: pep supercontig:ASM34128v1:scaf_3:130876:132130:-1 gene:Gasu_06110 transcript:EME32198 gene_biotype:protein_coding transcript_biotype:protein_coding description:high light inducible protein isoform 2)'	T
'1.1.1.6.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP2 protein'	'eme32199'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP2 protein (original description: pep supercontig:ASM34128v1:scaf_3:130912:131430:-1 gene:Gasu_06110 transcript:EME32199 gene_biotype:protein_coding transcript_biotype:protein_coding description:high light inducible protein isoform 2)'	T
'1.1.1.6.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group'	''	''	
'1.1.1.6.2.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP1 protein'	''	''	
'1.1.1.6.2.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP2 protein'	''	''	
'1.1.1.6.2.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP3 protein'	''	''	
'1.1.1.6.2.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP4 protein'	''	''	
'1.1.1.6.2.5'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP5 protein'	''	''	
'1.1.1.6.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group'	''	''	
'1.1.1.6.3.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group.ELIP protein'	''	''	
'1.1.2'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex'	''	''	
'1.1.2.1'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.apocytochrome f component PetA'	''	''	
'1.1.2.2'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.apocytochrome b component PetB'	''	''	
'1.1.2.3'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.Rieske iron-sulfur component PetC'	'eme29050'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.Rieske iron-sulfur component PetC (original description: pep supercontig:ASM34128v1:scaf_28:71147:72040:-1 gene:Gasu_34460 transcript:EME29050 gene_biotype:protein_coding transcript_biotype:protein_coding description:cytochrome b6-f complex iron-sulfur subunit)'	T
'1.1.2.3'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.Rieske iron-sulfur component PetC'	'eme32261'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.Rieske iron-sulfur component PetC (original description: pep supercontig:ASM34128v1:scaf_3:223453:224104:-1 gene:Gasu_06700 transcript:EME32261 gene_biotype:protein_coding transcript_biotype:protein_coding description:cytochrome b6-f complex iron-sulfur subunit)'	T
'1.1.2.4'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetD/IV'	'eme28474'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetD/IV (original description: pep supercontig:ASM34128v1:scaf_35:48831:49757:1 gene:Gasu_40190 transcript:EME28474 gene_biotype:protein_coding transcript_biotype:protein_coding description:[pt] cytochrome b6-f complex subunit 4)'	T
'1.1.2.5'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetG/V'	''	''	
'1.1.2.6'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetL/VI'	''	''	
'1.1.2.7'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetM/VII'	''	''	
'1.1.2.8'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.component PetN'	''	''	
'1.1.2.9'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly'	''	''	
'1.1.2.9.1'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV)'	''	''	
'1.1.2.9.1.1'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV).CCB1 component'	''	''	
'1.1.2.9.1.2'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV).CCB2 component'	''	''	
'1.1.2.9.1.3'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV).CCB3 component'	'eme29200'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex.assembly.CCB cytochrome b6 maturation system (system IV).CCB3 component (original description: pep supercontig:ASM34128v1:scaf_27:118940:119670:-1 gene:Gasu_34020 transcript:EME29200 gene_biotype:protein_coding transcript_biotype:protein_coding description:YggT family protein)'	T
