BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1.1.1.2.1.4'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP43 component PsbC'	'cmv082ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP43 component PsbC (original description: pep chromosome:ASM9120v1:Chloro:53555:54928:1 gene:CMV082C transcript:CMV082CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.2.1.5'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer'	''	''	
'1.1.1.2.1.5.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.alpha component PsbE'	'cmv231ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.alpha component PsbE (original description: pep chromosome:ASM9120v1:Chloro:142641:142883:-1 gene:CMV231C transcript:CMV231CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Cytochrome b559 subunit alpha [Source:UniProtKB/Swiss-Prot;Acc:Q85FQ2])'	T
'1.1.1.2.1.5.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.beta component PsbF'	'cmv230ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.beta component PsbF (original description: pep chromosome:ASM9120v1:Chloro:142506:142625:-1 gene:CMV230C transcript:CMV230CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Cytochrome b559 subunit beta [Source:UniProtKB/Swiss-Prot;Acc:Q85FQ3])'	T
'1.1.1.2.1.6'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component PsbI'	'cmv240ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component PsbI (original description: pep chromosome:ASM9120v1:Chloro:147197:147310:-1 gene:CMV240C transcript:CMV240CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:PSBI description:Photosystem II reaction center protein I [Source:UniProtKB/Swiss-Prot;Acc:Q85FP4])'	T
'1.1.1.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins'	''	''	
'1.1.1.2.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO'	'cmi290ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO (original description: pep chromosome:ASM9120v1:9:762886:763875:1 gene:CMI290C transcript:CMI290CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Manganese-stabilzing protein [Source:UniProtKB/TrEMBL;Acc:A0A125YL28])'	T
'1.1.1.2.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components'	''	''	
'1.1.1.2.2.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC23 component PsbP'	''	''	
'1.1.1.2.2.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC16 component PsbQ'	''	''	
'1.1.1.2.2.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components'	''	''	
'1.1.1.2.2.3.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbU'	'cmi248ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbU (original description: pep chromosome:ASM9120v1:9:661903:662367:1 gene:CMI248C transcript:CMI248CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Photosystem II 12 kD extrinsic protein [Source:UniProtKB/TrEMBL;Acc:M1V7V9])'	T
'1.1.1.2.2.3.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbV'	'cmv208ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbV (original description: pep chromosome:ASM9120v1:Chloro:126098:126547:1 gene:CMV208C transcript:CMV208CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Cytochrome c-550 [Source:UniProtKB/Swiss-Prot;Acc:Q85FS3])'	T
'1.1.1.2.2.3.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbQ*'	'cmc133ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbQ* (original description: pep chromosome:ASM9120v1:3:316055:316708:1 gene:CMC133C transcript:CMC133CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Similar to oxygen-evolving complex component psbQ [Source:UniProtKB/TrEMBL;Acc:M1VEV9])'	T
'1.1.1.2.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbH'	'cmv127ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbH (original description: pep chromosome:ASM9120v1:Chloro:82723:82914:1 gene:CMV127C transcript:CMV127CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II reaction center protein H [Source:UniProtKB/Swiss-Prot;Acc:Q85FZ2])'	T
'1.1.1.2.4'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbJ'	'cmv228ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbJ (original description: pep chromosome:ASM9120v1:Chloro:142220:142336:-1 gene:CMV228C transcript:CMV228CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II reaction center protein J [Source:UniProtKB/Swiss-Prot;Acc:Q85FQ5])'	T
'1.1.1.2.5'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbK'	'cmv140ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbK (original description: pep chromosome:ASM9120v1:Chloro:91893:92021:-1 gene:CMV140C transcript:CMV140CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II reaction center protein K [Source:UniProtKB/Swiss-Prot;Acc:Q85FY2])'	T
'1.1.1.2.6'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbL'	'cmv229ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbL (original description: pep chromosome:ASM9120v1:Chloro:142361:142474:-1 gene:CMV229C transcript:CMV229CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II reaction center protein L [Source:UniProtKB/Swiss-Prot;Acc:Q85FQ4])'	T
'1.1.1.2.7'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbM'	''	''	
'1.1.1.2.8'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbN'	'cmv126ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbN (original description: pep chromosome:ASM9120v1:Chloro:82578:82706:-1 gene:CMV126C transcript:CMV126CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Protein PsbN [Source:UniProtKB/Swiss-Prot;Acc:Q85FZ3])'	T
'1.1.1.2.9'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbR'	''	''	
'1.1.1.2.10'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbTc'	'cmv125ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbTc (original description: pep chromosome:ASM9120v1:Chloro:82441:82536:1 gene:CMV125C transcript:CMV125CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II reaction center protein T [Source:UniProtKB/Swiss-Prot;Acc:Q85FZ4])'	T
'1.1.1.2.11'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbTn'	''	''	
'1.1.1.2.12'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbW'	''	''	
'1.1.1.2.13'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbX'	''	''	
'1.1.1.2.14'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbY'	''	''	
'1.1.1.2.15'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbZ'	'cmv141ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbZ (original description: pep chromosome:ASM9120v1:Chloro:92063:92248:1 gene:CMV141C transcript:CMV141CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II reaction center protein Z [Source:UniProtKB/Swiss-Prot;Acc:Q85FY1])'	T
'1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance'	''	''	
'1.1.1.3.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA1 protein'	''	''	
'1.1.1.3.2'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA2 protein'	''	''	
'1.1.1.3.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA3 protein'	'cmj279ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA3 protein (original description: pep chromosome:ASM9120v1:10:741497:742786:1 gene:CMJ279C transcript:CMJ279CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.3.4'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF106 protein'	''	''	
'1.1.1.3.5'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF136 protein'	'cmo314ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF136 protein (original description: pep chromosome:ASM9120v1:15:779812:781126:-1 gene:CMO314C transcript:CMO314CT gene_biotype:protein_coding transcript_biotype:protein_coding description:photosystem II stability/assembly factor, chloroplast (HCF136) [Source:Projected from Arabidopsis thaliana (AT5G23120) TAIR;Acc:AT5G23120])'	T
'1.1.1.3.6'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF243 protein'	''	''	
'1.1.1.3.7'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF244 protein'	'cmv242ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF244 protein (original description: pep chromosome:ASM9120v1:Chloro:148886:149767:-1 gene:CMV242C transcript:CMV242CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Ycf39 protein [Source:UniProtKB/TrEMBL;Acc:Q85FP2])'	T
'1.1.1.3.8'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF173 protein'	''	''	
'1.1.1.3.9'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb27 protein'	'cmk176ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb27 protein (original description: pep chromosome:ASM9120v1:11:486306:486896:1 gene:CMK176C transcript:CMK176CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Photosystem II protein Psb27 [Source:UniProtKB/TrEMBL;Acc:M1V8D6])'	T
'1.1.1.3.10'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb28 protein'	'cmv089ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb28 protein (original description: pep chromosome:ASM9120v1:Chloro:57693:58019:1 gene:CMV089C transcript:CMV089CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II reaction center Psb28 protein [Source:UniProtKB/Swiss-Prot;Acc:Q85G21])'	T
'1.1.1.3.11'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb29 protein'	'cme041ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb29 protein (original description: pep chromosome:ASM9120v1:5:112071:113055:-1 gene:CME041C transcript:CME041CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Photosystem II biogenesis protein Psb29 [Source:UniProtKB/TrEMBL;Acc:M1VAS6])'	T
'1.1.1.3.12'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb30 protein'	'cmv003ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb30 protein (original description: pep chromosome:ASM9120v1:Chloro:2174:2275:-1 gene:CMV003C transcript:CMV003CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II reaction center protein Ycf12 [Source:UniProtKB/Swiss-Prot;Acc:Q85G86])'	T
'1.1.1.3.13'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb32 protein'	'cmk075ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb32 protein (original description: pep chromosome:ASM9120v1:11:218142:219107:1 gene:CMK075C transcript:CMK075CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.3.14'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb33 protein'	''	''	
'1.1.1.3.15'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PAM68 protein'	'cml309ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PAM68 protein (original description: pep chromosome:ASM9120v1:12:784275:785010:-1 gene:CML309C transcript:CML309CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.3.16'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.RBD1 protein'	'cms181ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.RBD1 protein (original description: pep chromosome:ASM9120v1:19:476746:477408:1 gene:CMS181C transcript:CMS181CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Rubredoxin [Source:UniProtKB/TrEMBL;Acc:M1VLX4])'	T
'1.1.1.3.17'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.MET1 protein'	''	''	
'1.1.1.3.18'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PPL1 protein'	''	''	
'1.1.1.3.19'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.SCO2 protein'	''	''	
'1.1.1.3.20'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.TerC protein'	'cmm279ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.TerC protein (original description: pep chromosome:ASM9120v1:13:703142:704291:-1 gene:CMM279C transcript:CMM279CT gene_biotype:protein_coding transcript_biotype:protein_coding description:integral membrane TerC family protein [Source:Projected from Arabidopsis thaliana (AT5G12130) TAIR;Acc:AT5G12130])'	T
'1.1.1.3.21'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.CYP38 protein'	'cmk307ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.CYP38 protein (original description: pep chromosome:ASM9120v1:11:837797:839179:1 gene:CMK307C transcript:CMK307CT gene_biotype:protein_coding transcript_biotype:protein_coding description:cyclophilin 38 [Source:Projected from Arabidopsis thaliana (AT3G01480) TAIR;Acc:AT3G01480])'	T
'1.1.1.3.22'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LQY1 protein'	'cmd057ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LQY1 protein (original description: pep chromosome:ASM9120v1:4:150807:151290:-1 gene:CMD057C transcript:CMD057CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Protein disulfide-isomerase LQY1, chloroplastic [Source:Projected from Arabidopsis thaliana (AT1G75690) UniProtKB/Swiss-Prot;Acc:Q8GSJ6])'	T
'1.1.1.3.23'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HHL1 protein'	'cmj126ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HHL1 protein (original description: pep chromosome:ASM9120v1:10:352518:353193:-1 gene:CMJ126C transcript:CMJ126CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.3.24'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LTO1 protein'	'cmo209ct'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LTO1 protein (original description: pep chromosome:ASM9120v1:15:538509:539894:1 gene:CMO209C transcript:CMO209CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation'	''	''	
'1.1.1.4.1'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation'	''	''	
'1.1.1.4.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.STN7 kinase'	''	''	
'1.1.1.4.1.2'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.STN8 kinase'	''	''	
'1.1.1.4.1.3'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.PPH1/TAP38 phosphatase'	''	''	
'1.1.1.4.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.PBCP phosphatase'	''	''	
'1.1.1.4.2'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.MPH2 acclimation factor'	''	''	
'1.1.1.4.3'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.APE acclimation factor'	'cmc040ct'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.APE acclimation factor (original description: pep chromosome:ASM9120v1:3:95768:96911:-1 gene:CMC040C transcript:CMC040CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.5'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection'	''	''	
'1.1.1.5.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ)'	''	''	
'1.1.1.5.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery'	''	''	
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'cmn234ct'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep chromosome:ASM9120v1:14:578489:579158:-1 gene:CMN234C transcript:CMN234CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Similar to chlorophyll a/b-binding protein, CP24 [Source:UniProtKB/TrEMBL;Acc:M1UU36])'	T
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'cmq142ct'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep chromosome:ASM9120v1:17:337674:338319:-1 gene:CMQ142C transcript:CMQ142CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Similar to light harvesting protein [Source:UniProtKB/TrEMBL;Acc:M1VKK5])'	T
'1.1.1.5.1.2'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).PsbS-dependent machinery'	''	''	
'1.1.1.5.1.2.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).PsbS-dependent machinery.PsbS protein'	''	''	
'1.1.1.5.1.3'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle'	''	''	
'1.1.1.5.1.3.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle.violaxanthin de-epoxidase'	''	''	
'1.1.1.5.1.3.2'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle.zeaxanthin epoxidase'	''	''	
'1.1.1.5.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein'	'cmn056ct'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein (original description: pep chromosome:ASM9120v1:14:131409:132549:-1 gene:CMN056C transcript:CMN056CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.5.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein'	'cmd107ct'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein (original description: pep chromosome:ASM9120v1:4:260661:261824:1 gene:CMD107C transcript:CMD107CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.5.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein'	'cmr394ct'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein (original description: pep chromosome:ASM9120v1:18:962615:963778:1 gene:CMR394C transcript:CMR394CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.5.1.5'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LCNP NPQ-regulator lipocalin'	''	''	
'1.1.1.5.1.6'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).SOQ1 negative NPQ-regulator protein'	'cmt388ct'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).SOQ1 negative NPQ-regulator protein (original description: pep chromosome:ASM9120v1:20:969155:970130:-1 gene:CMT388C transcript:CMT388CT gene_biotype:protein_coding transcript_biotype:protein_coding)'	T
'1.1.1.5.2'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.MPH1 protein'	''	''	
'1.1.1.6'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups'	''	''	
'1.1.1.6.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group'	''	''	
'1.1.1.6.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP1 protein'	'cmv110ct'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP1 protein (original description: pep chromosome:ASM9120v1:Chloro:70316:70444:-1 gene:CMV110C transcript:CMV110CT gene_biotype:protein_coding transcript_biotype:protein_coding description:ELIP-like protein [Source:UniProtKB/TrEMBL;Acc:Q85G06])'	T
'1.1.1.6.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP2 protein'	'cmp191ct'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP2 protein (original description: pep chromosome:ASM9120v1:16:486526:487147:-1 gene:CMP191C transcript:CMP191CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Similar to high light inducible protein [Source:UniProtKB/TrEMBL;Acc:M1V653])'	T
'1.1.1.6.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group'	''	''	
'1.1.1.6.2.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP1 protein'	''	''	
'1.1.1.6.2.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP2 protein'	''	''	
'1.1.1.6.2.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP3 protein'	''	''	
'1.1.1.6.2.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP4 protein'	''	''	
'1.1.1.6.2.5'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP5 protein'	''	''	
'1.1.1.6.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group'	''	''	
'1.1.1.6.3.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group.ELIP protein'	''	''	
'1.1.2'	'Photosynthesis.photophosphorylation.cytochrome b6/f complex'	''	''	
