BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1.1.1.2.1.5.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.beta component PsbF'	''	''	
'1.1.1.2.1.6'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.component PsbI'	''	''	
'1.1.1.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins'	''	''	
'1.1.1.2.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO'	'abp00775'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.OEC33 component PsbO (original description: pep chromosome:ASM9206v1:20:34809:36580:1 gene:OSTLU_29311 transcript:ABP00775 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbO description:psbO, PSII-O, OEE1, photosystem II polypeptide, oxygen evolving enhancer 1)'	T
'1.1.1.2.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components'	''	''	
'1.1.1.2.2.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC23 component PsbP'	'abp00918'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC23 component PsbP (original description: pep chromosome:ASM9206v1:20:470035:471283:1 gene:OSTLU_48109 transcript:ABP00918 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbP description:oxygen evolving enhancer 2 of Photosystem II)'	T
'1.1.1.2.2.2.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Viridiplantae-specific components.OEC16 component PsbQ'	''	''	
'1.1.1.2.2.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components'	''	''	
'1.1.1.2.2.3.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbU'	''	''	
'1.1.1.2.2.3.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbV'	''	''	
'1.1.1.2.2.3.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.oxygen-evolving center (OEC) extrinsic proteins.Rhodophyta-specific components.component PsbQ*'	''	''	
'1.1.1.2.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbH'	''	''	
'1.1.1.2.4'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbJ'	''	''	
'1.1.1.2.5'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbK'	''	''	
'1.1.1.2.6'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbL'	''	''	
'1.1.1.2.7'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbM'	'abo99039'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbM (original description: pep chromosome:ASM9206v1:12:76933:78152:-1 gene:OSTLU_26707 transcript:ABO99039 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbM description:putative psbM, PSII-M, photosystem II polypeptide, typically encoded in the chloroplast genome)'	T
'1.1.1.2.8'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbN'	''	''	
'1.1.1.2.9'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbR'	'abo96160'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbR (original description: pep chromosome:ASM9206v1:5:768498:769650:1 gene:OSTLU_31905 transcript:ABO96160 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbR description:psbR, PSII-R, photosystem II polypeptide)'	T
'1.1.1.2.10'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbTc'	''	''	
'1.1.1.2.11'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbTn'	''	''	
'1.1.1.2.12'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbW'	'abo94682'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbW (original description: pep chromosome:ASM9206v1:2:443498:444106:-1 gene:OSTLU_119497 transcript:ABO94682 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbW description:Photosystem II reaction center W protein, chloroplast precursor)'	T
'1.1.1.2.13'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbX'	'abo94505'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbX (original description: pep chromosome:ASM9206v1:2:672842:673813:1 gene:OSTLU_30175 transcript:ABO94505 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbX description:psbX, PSII-X, photosystem II polypeptide)'	T
'1.1.1.2.14'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbY'	'abo98878'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbY (original description: pep chromosome:ASM9206v1:12:93144:94828:1 gene:OSTLU_26717 transcript:ABO98878 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbY description:possible psbY, PSII-Y, photosystem II polypeptide)'	T
'1.1.1.2.15'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbZ'	''	''	
'1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance'	''	''	
'1.1.1.3.1'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA1 protein'	'abo98801'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA1 protein (original description: pep chromosome:ASM9206v1:11:437152:438339:-1 gene:OSTLU_88641 transcript:ABO98801 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.2'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA2 protein'	'abp00753'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA2 protein (original description: pep chromosome:ASM9206v1:19:104144:104377:-1 gene:OSTLU_28577 transcript:ABP00753 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.3'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA3 protein'	'abo93873'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LPA3 protein (original description: pep chromosome:ASM9206v1:1:726285:728185:1 gene:OSTLU_29040 transcript:ABO93873 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.4'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF106 protein'	'abo96805'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF106 protein (original description: pep chromosome:ASM9206v1:6:525259:525459:-1 gene:OSTLU_9857 transcript:ABO96805 gene_biotype:protein_coding transcript_biotype:protein_coding description:Tat family transporter: protein export (chloroplast membrane protein HCF106C))'	T
'1.1.1.3.5'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF136 protein'	'abo99217'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF136 protein (original description: pep chromosome:ASM9206v1:13:173579:175705:1 gene:OSTLU_47343 transcript:ABO99217 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.6'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF243 protein'	''	''	
'1.1.1.3.7'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF244 protein'	'abp00467'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF244 protein (original description: pep chromosome:ASM9206v1:17:283529:287322:1 gene:OSTLU_47864 transcript:ABP00467 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.8'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF173 protein'	'abo99957'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HCF173 protein (original description: pep chromosome:ASM9206v1:15:436982:438508:1 gene:OSTLU_1559 transcript:ABO99957 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.9'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb27 protein'	'abo97490'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb27 protein (original description: pep chromosome:ASM9206v1:8:551458:551712:1 gene:OSTLU_33201 transcript:ABO97490 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbZ description:possible psbZ, PSII-Z, photosystem II polypeptide)'	T
'1.1.1.3.10'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb28 protein'	'abo99996'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb28 protein (original description: pep chromosome:ASM9206v1:15:77479:77868:-1 gene:OSTLU_40772 transcript:ABO99996 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbW description:psbW, PSII-W, photosystem II polypeptide)'	T
'1.1.1.3.11'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb29 protein'	'abo95252'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb29 protein (original description: pep chromosome:ASM9206v1:3:470976:471584:-1 gene:OSTLU_6426 transcript:ABO95252 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.12'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb30 protein'	''	''	
'1.1.1.3.13'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb32 protein'	'abo99119'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb32 protein (original description: pep chromosome:ASM9206v1:12:354917:355741:-1 gene:OSTLU_17635 transcript:ABO99119 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.14'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb33 protein'	'abo95410'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.Psb33 protein (original description: pep chromosome:ASM9206v1:4:8500:9216:1 gene:OSTLU_86880 transcript:ABO95410 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.15'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PAM68 protein'	'abo94552'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PAM68 protein (original description: pep chromosome:ASM9206v1:2:811877:812170:1 gene:OSTLU_7855 transcript:ABO94552 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.16'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.RBD1 protein'	'abo97321'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.RBD1 protein (original description: pep chromosome:ASM9206v1:7:739635:739913:-1 gene:OSTLU_9570 transcript:ABO97321 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.17'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.MET1 protein'	'abo94595'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.MET1 protein (original description: pep chromosome:ASM9206v1:2:73873:74652:-1 gene:OSTLU_35995 transcript:ABO94595 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.18'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PPL1 protein'	'abo96988'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.PPL1 protein (original description: pep chromosome:ASM9206v1:7:413752:414435:1 gene:OSTLU_118778 transcript:ABO96988 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:PSBP3 description:lumenal PsbP-like protein)'	T
'1.1.1.3.19'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.SCO2 protein'	''	''	
'1.1.1.3.20'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.TerC protein'	'abo99804'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.TerC protein (original description: pep chromosome:ASM9206v1:14:590100:591389:-1 gene:OSTLU_27614 transcript:ABO99804 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.20'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.TerC protein'	'abo96900'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.TerC protein (original description: pep chromosome:ASM9206v1:7:94632:95468:1 gene:OSTLU_16000 transcript:ABO96900 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.21'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.CYP38 protein'	'abo96198'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.CYP38 protein (original description: pep chromosome:ASM9206v1:5:63303:64442:-1 gene:OSTLU_38395 transcript:ABO96198 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.22'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LQY1 protein'	''	''	
'1.1.1.3.23'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HHL1 protein'	'abo93864'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.HHL1 protein (original description: pep chromosome:ASM9206v1:1:700282:700725:1 gene:OSTLU_29024 transcript:ABO93864 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.24'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LTO1 protein'	'abo98354'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LTO1 protein (original description: pep chromosome:ASM9206v1:10:46945:47856:-1 gene:OSTLU_38289 transcript:ABO98354 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.3.24'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LTO1 protein'	'abo95208'	'Photosynthesis.photophosphorylation.photosystem II.assembly and maintenance.LTO1 protein (original description: pep chromosome:ASM9206v1:3:339725:340375:-1 gene:OSTLU_30533 transcript:ABO95208 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation'	''	''	
'1.1.1.4.1'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation'	''	''	
'1.1.1.4.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.STN7 kinase'	'abo98422'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.STN7 kinase (original description: pep chromosome:ASM9206v1:10:263231:265096:-1 gene:OSTLU_50622 transcript:ABO98422 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:STT7 description:LHCII kinase)'	T
'1.1.1.4.1.2'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.STN8 kinase'	''	''	
'1.1.1.4.1.3'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.PPH1/TAP38 phosphatase'	'abo94690'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.PPH1/TAP38 phosphatase (original description: pep chromosome:ASM9206v1:2:459667:460833:-1 gene:OSTLU_119508 transcript:ABO94690 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:Pph1 description:protein phosphatase 2C-like protein)'	T
'1.1.1.4.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.PBCP phosphatase'	'abo93777'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.phosphorylation/dephosphorylation.PBCP phosphatase (original description: pep chromosome:ASM9206v1:1:411374:412273:1 gene:OSTLU_28852 transcript:ABO93777 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.4.2'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.MPH2 acclimation factor'	'abp00723'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.MPH2 acclimation factor (original description: pep chromosome:ASM9206v1:19:146497:146976:1 gene:OSTLU_18904 transcript:ABP00723 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.4.3'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.APE acclimation factor'	'abp01285'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.APE acclimation factor (original description: pep chromosome:ASM9206v1:21:218685:219254:-1 gene:OSTLU_6822 transcript:ABP01285 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.4.3'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.APE acclimation factor'	'abo99261'	'Photosynthesis.photophosphorylation.photosystem II.photosynthetic acclimation.APE acclimation factor (original description: pep chromosome:ASM9206v1:13:309215:309784:1 gene:OSTLU_6879 transcript:ABO99261 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.5'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection'	''	''	
'1.1.1.5.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ)'	''	''	
'1.1.1.5.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery'	''	''	
'1.1.1.5.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein'	'abo96269'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LhcSR-dependent machinery.LhcSR protein (original description: pep chromosome:ASM9206v1:5:282890:283782:-1 gene:OSTLU_31645 transcript:ABO96269 gene_biotype:protein_coding transcript_biotype:protein_coding description:fucoxanthin chlorophyll a/c binding protein-like protein)'	T
'1.1.1.5.1.2'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).PsbS-dependent machinery'	''	''	
'1.1.1.5.1.2.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).PsbS-dependent machinery.PsbS protein'	''	''	
'1.1.1.5.1.3'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle'	''	''	
'1.1.1.5.1.3.1'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle.violaxanthin de-epoxidase'	'abo99997'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle.violaxanthin de-epoxidase (original description: pep chromosome:ASM9206v1:15:78228:79355:-1 gene:OSTLU_27727 transcript:ABO99997 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:VDE description:violaxanthin de-epoxidase, chloroplast precursor)'	T
'1.1.1.5.1.3.2'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle.zeaxanthin epoxidase'	'abo99857'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).xanthophyll cycle.zeaxanthin epoxidase (original description: pep chromosome:ASM9206v1:15:80050:81336:1 gene:OSTLU_1611 transcript:ABO99857 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ZEP description:zeaxanthin epoxidase (ABA1) (NPQ2))'	T
'1.1.1.5.1.4'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein'	'abo94810'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).FLAP1 NPQ-regulator protein (original description: pep chromosome:ASM9206v1:2:863785:864423:-1 gene:OSTLU_35945 transcript:ABO94810 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.5.1.5'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).LCNP NPQ-regulator lipocalin'	''	''	
'1.1.1.5.1.6'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.non-photochemical quenching (NPQ).SOQ1 negative NPQ-regulator protein'	''	''	
'1.1.1.5.2'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.MPH1 protein'	'abo94897'	'Photosynthesis.photophosphorylation.photosystem II.photoprotection.MPH1 protein (original description: pep chromosome:ASM9206v1:3:269393:270202:1 gene:OSTLU_30483 transcript:ABO94897 gene_biotype:protein_coding transcript_biotype:protein_coding description:predicted protein)'	T
'1.1.1.6'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups'	''	''	
'1.1.1.6.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group'	''	''	
'1.1.1.6.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP1 protein'	''	''	
'1.1.1.6.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP2 protein'	'abo94619'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.one-helix LHC-related protein group.OHP2 protein (original description: pep chromosome:ASM9206v1:2:156973:157359:-1 gene:OSTLU_14124 transcript:ABO94619 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:HLIP description:possible high light inducible protein)'	T
'1.1.1.6.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group'	''	''	
'1.1.1.6.2.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP1 protein'	''	''	
'1.1.1.6.2.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP2 protein'	''	''	
'1.1.1.6.2.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP3 protein'	'abo94917'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP3 protein (original description: pep chromosome:ASM9206v1:3:329666:330178:1 gene:OSTLU_33858 transcript:ABO94917 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ELIP3 description:possible early light inducible protein)'	T
'1.1.1.6.2.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP4 protein'	''	''	
'1.1.1.6.2.5'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP5 protein'	''	''	
'1.1.1.6.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group'	''	''	
'1.1.1.6.3.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group.ELIP protein'	'abo95507'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group.ELIP protein (original description: pep chromosome:ASM9206v1:4:315278:316237:1 gene:OSTLU_14984 transcript:ABO95507 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ELIP4 description:possible early light induced protein or carotenoid biosynthesis related, also has beta-Ig-H3/fasciclin domain)'	T
'1.1.1.6.3.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group.ELIP protein'	'abp01239'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group.ELIP protein (original description: pep chromosome:ASM9206v1:21:36503:36931:-1 gene:OSTLU_29644 transcript:ABP01239 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ELIP/CBR21a description:possible early light inducible or carotene biosynthesis related protein)'	T
'1.1.1.6.3.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group.ELIP protein'	'abp01271'	'Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.three-helix LHC-related protein group.ELIP protein (original description: pep chromosome:ASM9206v1:21:172571:173383:-1 gene:OSTLU_29720 transcript:ABP01271 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ELIP/CBR21b description:possible early light inducible or carotene biosynthesis related protein)'	T
