gene	XP1_nitrate	XP2_fruits	XP3_geno
at1g02300.1	-0.018141862	0.290055368	-0.689992313
at1g02305.1	0.654961598	-0.71490152	-0.01524043
at1g02310.1	-0.263472808	0.117709368	0.55091035
at1g02320.1	0.113581177	0.752351071	-0.243259722
at1g02330.1	0	-0.256259356	-0.270026463
at1g02335.1	-0.298371268	-0.034211679	-0.745003227
at1g02340.1	0	-0.842340409	-0.849370305
at1g02350.1	0	-0.255138302	0.074078543
at1g02360.1	-0.119640492	0.18334488	0.965445002
at1g02370.1	0.731138096	-0.312440906	0.054846736
at1g02380.1	-0.017794445	-0.776581134	0.820095226
at1g02390.1	0	0.677656909	0.064454798
at1g02391.1	-0.969539906	0.693195263	-0.957971527
at1g02400.1	0	-0.592173487	-0.271333792
at1g02405.1	-0.529904491	-0.19511977	-0.834839235
at1g02410.1	0	0.388964254	-0.14807538
at1g02420.1	-0.773167289	0.471573281	-0.797569532
at1g02430.1	0.752895387	0.984402732	-0.894953416
at1g02440.1	0.844312467	0.961614642	-0.919899354
at1g02450.1	-0.10792697	0.580220573	-0.172236209
at1g02460.1	-0.880431371	-0.452371539	-0.183795673
at1g02470.2	0.37095371	-0.806596943	-0.612766777
at1g02475.1	0.07224731	-0.007647371	0.95490288
at1g02490.1	0	-0.370542171	-0.867485157
at1g02500.1	-0.941048418	0.109088257	-0.397588291
at1g02510.1	0.422026306	0.061320593	0.276186624
at1g02520.1	0	-0.35233228	-0.721675979
at1g02530.1	0.786192901	0.594836223	0.313273062
at1g02540.1	-0.447100375	0.476081076	-0.783927941
at1g02550.1	-0.874658939	-0.679505108	0.817389625
at1g02560.1	0.492613037	0.818972001	0.672609361
at1g02570.1	-0.310394365	0.395037955	0.186386885
at1g02575.1	0.184811056	0.923474968	-0.305492761
at1g02580.1	0.689188678	-0.103798332	0.095719182
at1g02590.1	0.933206526	-0.163695699	0.666407201
at1g02610.1	0.624068974	-0.721837058	-0.011552851
at1g02620.1	-0.7055649	0.182400616	-0.592490145
at1g02630.1	0.63761399	0.315809834	-0.214603917
at1g02640.1	0.995118819	0.117576045	-0.115905612
at1g02650.1	0	-0.336257446	-0.539317722
at1g02660.1	-0.158931602	-0.879712766	0.892744911
at1g02670.1	0.390816298	0.596409965	0.482470368
at1g02680.1	0	0.500355622	0.979430285
at1g02690.2	-0.965234965	-0.894893693	0.938020337
at1g02700.1	-0.457268266	-0.440818574	0.729153697
at1g02710.1	0.456361409	-0.631340048	0.336663354
at1g02720.1	-0.938210372	-0.2139536	-0.18335334
at1g02730.1	0	0.484761018	0.670277624
at1g02740.1	0.202997366	0.102831576	0.232906086
at1g02750.1	-0.54058357	0.707091897	0.804127822
at1g02770.1	0	-0.177233285	0.677368089
at1g02780.1	0.032042116	0.834739132	-0.501520455
at1g02790.1	0.731647959	0.080478945	-0.881870789
at1g02800.1	-0.323940696	-0.833751759	-0.966772913
at1g02810.1	-0.078449731	-0.102201473	0.625966618
at1g02813.1	-0.832994233	-0.423984412	0.171240813
at1g02816.1	-0.877428972	0.154109877	0.074677806
at1g02820.1	-0.950002399	-0.341552529	-0.634832771
at1g02830.1	0	-0.592813748	0.332433432
at1g02840.1	0.97132603	0.337741238	0.649616387
at1g02850.4	-0.804763462	-0.566072028	-0.040511358
at1g02860.1	0.522798263	0.670989371	-0.942018286
at1g02870.1	-0.267895314	-0.336183853	-0.947516562
at1g02880.3	0	-0.485028341	-0.133887829
at1g02890.1	0	-0.436224704	-0.279268433
at1g02900.1	-0.449470995	0.452417491	0.16593485
at1g02910.1	0.337806373	-0.657360275	-0.930096059
at1g02920.1	0.673617829	0.357542178	-0.15746543
at1g02930.1	-0.851221007	0.635393645	0.157832442
at1g02940.1	0.799868373	0.915764404	-0.62339718
at1g02950.2	0	0.424456004	0.041117053
at1g02960.2	0	0.48970256	-0.848196884
at1g02965.1	-0.931370029	0.938109247	0.61839494
at1g02970.1	0	0.404907411	0.165887307
at1g02980.1	0	0.215972242	0.863156212
at1g02990.3	-0.123563453	-0.54855847	-0.027837657
at1g03000.1	0	0.127541678	0.363444647
at1g03010.1	0.724844777	-0.171762888	0.239923612
at1g03020.1	0.118666462	0.954899772	-0.66857889
at1g03022.1	0.289991494	0.993376325	0.740835429
at1g03030.1	-0.732764788	0.337625519	-0.92364828
at1g03040.1	-0.229436282	-0.451990149	-0.68453204
at1g03050.1	0	0.734763661	-0.490656985
at1g03055.1	0.012740283	0.695401325	-0.431452614
at1g03060.1	-0.537656797	-0.109825453	0.935773435
at1g03070.1	0	0.164837076	0.321039337
at1g03080.1	0	0.866133136	0.186135709
at1g03090.2	0	0.098573371	-0.582814999
at1g03100.1	-0.660286737	0.120199031	0.418176016
at1g03103.1	-0.231669825	-0.923326444	-0.555197455
at1g03106.1	0.217559187	-0.783240727	-0.293300706
at1g03110.1	0	-0.871639884	-0.920243469
at1g03120.1	0.610292303	0.730591002	0.848609486
at1g03130.1	0.629729055	-0.893523659	-0.591245769
at1g03140.1	0	-0.527135059	-0.845445276
at1g03150.1	-0.724607356	-0.261001636	-0.472700948
at1g03160.1	0.916074013	0.706032091	-0.177128984
at1g03170.1	0.847196723	-0.065680403	-0.147459224
at1g03180.1	-0.738729717	-0.368304278	0.202303281
at1g03190.1	-0.486867718	-0.480204551	-0.59435635
at1g03200.1	0	-0.268790212	-0.472320849
at1g03210.1	0.223087316	0.6427478	-0.480861149
at1g03220.1	-0.958519688	0.027671262	-0.717312202
at1g03230.1	0	0.925109923	0.423670982
at1g03240.1	-0.414841739	0.21926948	0.878909661
at1g03250.2	-0.717929062	0.177145168	0.881525039
at1g03260.1	0	0.736312985	-0.779929239
at1g03270.1	0.206562637	-0.867051208	-0.74171056
at1g03280.1	0	-0.858895195	0.15961101
at1g03290.1	-0.435134301	0.21130522	0.606078958
at1g03300.1	-0.725781024	0.066998695	0.83481451
at1g03310.2	-0.481128804	0.125311486	0.730979975
at1g03320.1	0.371996435	-0.82631322	0.060101121
at1g03330.1	0.481887617	0.174544588	-0.845948975
at1g03340.1	0.003290657	-0.038695732	0.331570176
at1g03350.1	-0.850244216	-0.756753492	0.747852155
at1g03360.1	0.896762037	0.670089025	0.400975025
at1g03365.1	0	0.65313128	0.331852848
at1g03370.1	0.174077665	-0.925440374	-0.038794341
at1g03380.1	0.086706566	-0.62076006	0.123086882
at1g03390.1	0	-0.853318486	-0.957157467
at1g03400.1	0	0.722811163	0.054795249
at1g03410.1	0	0.618930536	0.077365992
at1g03430.1	0	0.295814822	0.707709826
at1g03440.1	0	-0.258464531	-0.29980603
at1g03445.1	0.407410651	-0.690883166	0.692526752
at1g03457.2	0.96290485	0.517121381	-0.342471856
at1g03470.1	-0.103902637	0.963247613	0.250890878
at1g03475.1	0	-0.466783301	-0.227705357
at1g03490.1	0.872075447	-0.441975152	-0.466762514
at1g03495.1	-0.114590491	0.914942179	0.416458601
at1g03510.1	0	-0.258008091	-0.86135648
at1g03520.1	0.595059243	0.806778962	-0.600848941
at1g03530.1	0	-0.63105957	-0.419012213
at1g03540.1	-0.845444968	0.257165358	0.323737053
at1g03550.1	0	0.765820321	0.063876282
at1g03560.1	0	-0.117296828	-0.243391786
at1g03590.1	0.782110833	-0.814237309	-0.571563747
at1g03600.1	-0.199577141	0.493353459	-0.534213834
at1g03610.1	0	-0.776585332	0.681908637
at1g03620.1	0	-0.77292658	0.400062749
at1g03630.1	0.648692676	0.70423928	-0.606839004
at1g03650.1	-0.958102065	-0.395304677	-0.848356506
at1g03660.1	0	0.032577204	0.965472926
at1g03670.1	0	-0.104975472	-0.260517405
at1g03680.1	0	0.918488062	-0.350778163
at1g03687.1	0	-0.958824751	0.31694499
at1g03700.1	0	0.650428402	-0.395346543
at1g03710.1	0.371384575	0.936544829	-0.901085995
at1g03720.1	0	-0.347734641	0.041504959
at1g03730.1	-0.567294527	0.30193878	0.619909527
at1g03740.1	0	-0.091178884	-0.33725745
at1g03750.1	-0.803003579	0.037926584	-0.815031467
at1g03760.1	0	0.845622368	0.039729129
at1g03770.2	-0.316110938	0.218238802	-0.018387288
at1g03780.3	0.776827499	-0.947275874	0.266454974
at1g03790.1	0	-0.25270799	0.144734647
at1g03800.1	0	-0.348984841	0.717103491
at1g03810.1	0	-0.782714071	-0.818327465
at1g03820.1	0.674199576	-0.825348726	-0.84246199
at1g03830.2	0.331530102	-0.353265442	0.897139747
at1g03840.1	0.689224543	-0.938847886	-0.44976721
at1g03850.1	0.662995841	-0.28719503	-0.272984939
at1g03860.1	0.975574783	0.125805307	0.828512549
at1g03870.1	-0.518499732	0.97668728	-0.821288438
at1g03880.1	0.377679126	-0.289605797	-0.303115353
at1g03890.1	0	0.848715178	0.686418437
at1g03900.1	-0.088369961	0.908928471	0.929521495
at1g03905.1	0.94461808	0.944156606	-0.203526573
at1g03910.2	0	-0.815102986	0.317784344
at1g03920.1	0.818680534	0.187979015	0.049915666
at1g03930.1	0	0.724397634	0.835966021
at1g03940.1	0.955112561	0.607242267	0.179380762
at1g03950.1	0	0.420351541	-0.305359262
at1g03960.1	0.22762392	0.531320304	0.677600867
at1g03970.1	0	0.687998435	-0.94640573
at1g03980.1	-0.264104009	-0.619808285	0.551430373
at1g03982.1	-0.897579584	0.68837734	-0.814887032
at1g03990.1	0.590521486	-0.973313267	-0.413211905
at1g04000.1	0.688013421	-0.081413301	-0.563888316
at1g04010.1	0.750126664	0.411776512	-0.908536423
at1g04020.1	0	-0.215250969	-0.703222704
at1g04030.1	-0.040005037	0.58325711	0.113975755
at1g04040.1	-0.363595261	0.099963544	-0.981846497
at1g04050.1	0.67396904	0.616899067	0.656838437
at1g04070.1	-0.080668111	-0.533511121	-0.946780207
at1g04080.3	0.637571622	0.100115253	0.875222283
at1g04090.1	0	0.573001992	-0.612979451
at1g04100.1	-0.954178657	-0.322515179	-0.62882305
at1g04110.1	0	0.728386671	-0.605994821
at1g04120.1	0	-0.121187028	0.229867348
at1g04130.1	-0.456568413	0.523641449	0.066865689
at1g04140.2	0.22670207	0.836342766	0.899399379
at1g04150.1	0.920558643	-0.14377531	-0.006525375
at1g04160.1	-0.053956568	0.501188923	-0.024798641
at1g04170.1	0.70845765	0.838295616	-0.450398102
at1g04171.1	0.980740693	0.104451139	0.22952496
at1g04180.1	0.682848954	0.332198236	-0.356436199
at1g04190.1	-0.96304337	0.734044079	-0.097254542
at1g04200.1	0.983963521	-0.080444887	-0.45906282
at1g04210.1	-0.505656189	0.203606585	0.161846771
at1g04220.1	0.809482673	-0.369918859	-0.401468554
at1g04230.1	0.799568708	-0.52321949	0.653235588
at1g04240.1	-0.7989834	-0.541501387	-0.3701572
at1g04250.1	-0.704319749	0.077998757	0.262933758
at1g04260.1	-0.213966204	-0.114848609	0.031577315
at1g04270.1	0	-0.716273856	-0.516296416
at1g04280.1	-0.883534323	0.030631999	-0.645272411
at1g04290.1	0.490062542	0.370838791	0.444644001
at1g04300.3	-0.136340372	0.779027067	0.804867101
at1g04310.1	-0.944736366	0.65662785	-0.203034353
at1g04330.1	0.462564782	0.701708801	0.746208086
at1g04340.1	0.516806499	-0.72898699	-0.890337254
at1g04350.1	-0.669947264	-0.464156317	0.464813282
at1g04360.1	0	-0.845502578	0.547764179
at1g04370.1	0.760824853	0.564817619	0.642822279
at1g04380.1	0	0.199246762	0.033248058
at1g04390.1	0	-0.067317412	-0.538936211
at1g04400.2	-0.455487888	-0.963222982	0.523734255
at1g04410.1	0.776246289	0.301294445	-0.510277863
at1g04420.1	0	-0.309608958	0.850905491
at1g04430.1	0	-0.143196217	-0.702998887
at1g04440.1	0.849670566	-0.434651752	0.97610495
at1g04445.1	0	-0.08842293	-0.534565594
at1g04450.1	0	-0.937772326	-0.676117336
at1g04470.1	-0.432145393	-0.343945946	-0.575528672
at1g04480.1	0.5177258	-0.067933515	0.142546396
at1g04490.1	-0.792967841	0.570499381	0.586248807
at1g04500.1	0	-0.604796472	0.309736304
at1g04501.1	0	-0.825162796	-0.828943626
at1g04510.1	0.516358725	-0.899223501	0.185313764
at1g04520.1	0.781528103	0.730396057	-0.6666693
at1g04530.1	0.636293319	0.834503737	-0.432192511
at1g04540.1	0	-0.231209632	0.628329038
at1g04550.2	-0.013347761	0.072185693	0.82560856
at1g04555.1	-0.059916673	0.519802544	-0.053640573
at1g04560.1	-0.880651284	0.987831518	0.872258193
at1g04570.1	0	-0.586345778	0.910338442
at1g04580.1	0.8247941	-0.18167815	-0.183447931
at1g04590.2	0	-0.615868233	0.259485387
at1g04600.1	0	0.730245096	0.405443214
at1g04610.1	0.148193196	0.695153972	0.947001813
at1g04620.1	0	-0.527761289	-0.894969534
at1g04625.1	-0.053790239	0.821121741	-0.614245265
at1g04630.1	0.691231249	0.540664652	0.129519679
at1g04635.1	0.161621445	-0.894684774	-0.074917537
at1g04640.1	0.49991085	-0.819930637	0.222492716
at1g04645.1	0.345256205	-0.775908168	-0.79388801
at1g04650.1	-0.636524269	-0.290950452	0.123111055
at1g04660.1	-0.422231128	0.409826883	-0.160136588
at1g04670.1	0.088549519	0.27423204	-0.139989087
at1g04680.1	0.799075763	-0.140508114	-0.433037204
at1g04684.1	-0.581602692	-0.017558681	-0.199278892
at1g04690.1	-0.473305824	-0.330818465	0.474537666
at1g04700.1	0.581517758	-0.816740876	0.941479481
at1g04710.1	0	-0.173550949	-0.395632772
at1g04730.1	0	0.634390287	-0.100876222
at1g04750.1	0.394261279	0.492101695	-0.29915817
at1g04760.1	-0.623797193	0.046266699	0.216093327
at1g04770.1	-0.232550895	-0.422547892	0.524104225
at1g04778.1	0	0.578161157	-0.028194157
at1g04780.1	0	-0.859989165	-0.082703945
at1g04790.1	0.377180622	0.926163704	0.724727709
at1g04800.1	0	0.224629627	0.359416728
at1g04810.1	0.077646724	-0.885426992	-0.363059219
at1g04820.1	0.588485555	0.190526444	0.694109301
at1g04830.2	0	0.869985766	0.45735233
at1g04840.1	-0.967964431	0.425851052	-0.020884708
at1g04850.1	0	0.764329972	-0.548252087
at1g04860.1	0.602397251	-0.846287655	-0.772489058
at1g04870.2	-0.024417524	0.72009118	-0.662626497
at1g04880.1	0.229723781	-0.57951901	-0.302375706
at1g04890.1	0.961914217	0.449224334	0.0273032
at1g04900.1	-0.616867139	-0.031320614	0.324146753
at1g04910.1	0	0.291072343	0.996367171
at1g04920.1	0.886355726	-0.71311849	-0.13558088
at1g04930.2	-0.609227568	0.271048865	0.785475674
at1g04940.1	0	-0.121848469	-0.520629348
at1g04945.3	0	0.700962428	-0.902883523
at1g04950.1	0.020672026	-0.028905984	0.721415789
at1g04960.2	-0.99694911	0.629949402	-0.925754935
at1g04970.1	0.228867742	0.413315523	0.109515386
at1g04980.1	0	0.446729409	0.26118891
at1g04985.1	0.966330168	-0.680218786	-0.665310419
at1g04990.2	0	0.373677681	0.256851008
at1g05000.2	0	-0.008063221	-0.336796026
at1g05010.1	0	0.211825608	-0.370323268
at1g05020.1	0	0.681999436	0.164270184
at1g05030.1	-0.23436283	0.737707751	0.322688768
at1g05040.1	-0.601134735	0.849741091	0.489086726
at1g05055.1	0	0.235575965	0.569351226
at1g05060.1	0	-0.358290032	-0.281819445
at1g05065.1	0	-0.738168189	0.829847853
at1g05070.1	0.665431309	-0.232554777	0.554746906
at1g05080.1	0	-0.690337736	-0.065708819
at1g05085.1	0.022092325	0.565820564	-0.687970804
at1g05090.1	0.793196187	-0.013616981	-0.911689079
at1g05100.1	0	0.594252157	0.642226561
at1g05120.1	0	0.437895535	0.18551907
at1g05136.1	0.742408132	-0.476778855	-0.569939537
at1g05140.1	0.78957639	-0.191552747	0.537688475
at1g05150.1	-0.243751216	0.490053775	-0.184214553
at1g05160.1	0	0.445821841	-0.178948992
at1g05170.2	0.644490528	-0.884529677	-0.495426811
at1g05180.1	-0.41991234	-0.383441797	0.120963086
at1g05190.1	0.606368942	-0.480730404	-0.739233597
at1g05200.1	-0.672509133	-0.161026397	-0.408918822
at1g05205.1	0.668968596	-0.024465558	-0.019936049
at1g05210.1	0	-0.923349854	-0.482509362
at1g05220.1	0	0.007819299	-0.724655692
at1g05230.1	0	-0.423481918	-0.170001369
at1g05240.1	0	0.160629992	0.620733043
at1g05250.1	0.908302025	-0.198797091	-0.187746657
at1g05260.1	0	-0.993580599	0.647913344
at1g05270.1	-0.559134687	-0.928521132	-0.238374588
at1g05280.1	-0.060395498	0.472582856	0.105083604
at1g05290.1	-0.975567289	0.968924468	0.93496866
at1g05291.1	0	0.258473291	-0.223860503
at1g05300.1	0.201356427	0.580723071	-0.741494465
at1g05310.1	-0.029516816	-0.494810498	-0.198540671
at1g05320.1	0.94693523	0.990512276	-0.58659036
at1g05330.1	-0.196408245	-0.207156638	-0.368647423
at1g05340.1	0.505424801	0.465605399	-0.456537656
at1g05350.1	0.531226507	-0.910232747	-0.345140946
at1g05360.1	-0.631370231	0.73128368	0.942086981
at1g05370.1	0.924194978	-0.226048283	-0.674577705
at1g05380.1	-0.373635838	-0.101631524	-0.952108877
at1g05385.1	0.625979652	0.326389401	0.175486606
at1g05400.1	0.285946668	-0.904761585	0.230367885
at1g05410.1	0.813194657	-0.447026107	0.566044797
at1g05420.1	0.230770208	-0.32058845	-0.9170797
at1g05430.1	0	0.343567987	-0.504531899
at1g05440.1	-0.071485454	0.967051614	-0.763181371
at1g05450.2	0.546013904	-0.169993876	-0.102094479
at1g05460.1	0.02781095	0.942879939	-0.370088036
at1g05470.1	0.058114342	0.27923148	0.695678768
at1g05490.1	0	-0.851942638	0.22858246
at1g05500.1	-0.925573455	0.233173223	0.678716423
at1g05510.1	-0.733882587	-0.92627781	0.675747472
at1g05520.1	0	0.48816313	0.269009657
at1g05530.1	0	-0.980919232	0.236119242
at1g05540.1	0.1614613	0.215824683	-0.298530271
at1g05550.3	-0.801472499	0.885737096	-0.101190421
at1g05560.1	0.155777301	0.98529406	0.920443185
at1g05570.1	0.195758621	0.574992394	0.385047943
at1g05575.1	-0.986226084	0.527354421	-0.626575118
at1g05577.1	0	-0.434787455	-0.790284731
at1g05580.1	0	-0.973969546	-0.235501712
at1g05590.1	-0.749134374	-0.649682261	0.956671935
at1g05600.1	0.803231292	-0.483486423	-0.386345572
at1g05610.1	-0.10355302	-0.156185874	0.298016681
at1g05615.1	0.503050919	0.451644127	0.767544131
at1g05620.1	0.360944229	0.113802705	0.653454727
at1g05630.1	0	-0.930697035	0.183013952
at1g05640.1	0.720851499	-0.198324869	0.824459656
at1g05650.1	-0.822835255	0.312606014	0.802177891
at1g05660.1	-0.467686071	-0.069845066	0.579681025
at1g05670.1	0	-0.718152455	-0.843498025
at1g05675.1	-0.657479932	-0.401242175	-0.783593836
at1g05680.1	0	-0.86448332	0.628190191
at1g05690.1	0	-0.106210527	0.446984582
at1g05700.1	0	-0.157064655	-0.179274082
at1g05710.2	0	-0.351383323	0.258236838
at1g05720.1	-0.146568071	0.837232922	0.677854746
at1g05730.1	0	0.072398884	-0.843762888
at1g05740.1	-0.445064364	-0.324892347	0.518971291
at1g05750.1	0	0.777062783	-0.213610741
at1g05760.1	0.834222198	-0.751699427	-0.374376523
at1g05770.1	-0.106582469	0.242072491	0.98868161
at1g05780.1	-0.291490002	0.527169147	0.669112835
at1g05785.1	0.99225622	-0.573957012	0.266249456
at1g05790.1	0	-0.564539585	0.511576629
at1g05800.1	-0.173759755	0.630186343	0.134915001
at1g05805.1	-0.170779714	-0.574216731	-0.113516631
at1g05810.1	0	0.544374239	0.590321413
at1g05820.1	0	-0.489046747	0.897455954
at1g05830.1	0	-0.858738736	0.96248662
at1g05835.1	-0.032586154	0.308862968	-0.731077767
at1g05840.1	-0.429148327	-0.883898732	0.288627241
at1g05850.1	0.483683851	-0.135098758	0.202412543
at1g05860.1	0.597767309	-0.182215136	-0.738777012
at1g05870.1	0.719163663	-0.862255306	-0.22195197
at1g05880.2	0	-0.068814656	-0.432369585
at1g05890.2	0.271546022	0.399744006	-0.43847349
at1g05894.1	-0.930757734	0.620606512	0.60522109
at1g05900.2	-0.101632062	0.844377806	-0.441339954
at1g05910.1	0.984530659	0.011145922	0.023254016
at1g05920.1	-0.167950728	-0.042002867	-0.666059814
at1g05925.1	-0.048292312	0.509823878	-0.477568507
at1g05930.1	0	-0.229103805	0.077109406
at1g05940.1	0	-0.167667105	-0.25131267
at1g05950.1	0.345453706	-0.026921487	-0.562047358
at1g05960.2	0	-0.697817634	0.891806625
at1g05970.2	-0.245689642	0.29484669	0.949074336
at1g05990.1	-0.423932643	-0.020161436	0.414115623
at1g06000.1	-0.285323688	0.501131191	0.645196372
at1g06010.1	0.717651133	0.49987694	-0.051761877
at1g06020.1	0	-0.261048042	-0.898349186
at1g06030.1	0.078620636	0.830404571	-0.842234265
at1g06040.1	0.78266954	-0.10806188	0.175042317
at1g06050.1	0	0.858001386	0.452133409
